mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,5758897,198.077193,198.077181,-0.011,-0.056,C9 H12 N O4    ,9,12,1,4,0,
500.45,2075251,198.997366,198.997157,-0.209,-1.051,C10 H3 N2 O S  ,10,3,2,1,1,
-1000.00,5852795,199.007057,199.007053,-0.004,-0.019,C8 H7 O4 S     ,8,7,0,4,1,
-1000.00,2909832,199.024821,199.024812,-0.010,-0.048,C8 H7 O6       ,8,7,0,6,0,
112.29,17607318,199.043445,199.043439,-0.006,-0.029,C9 H11 O3 S    ,9,11,0,3,1,
-1000.00,11825828,199.061215,199.061197,-0.018,-0.092,C9 H11 O5      ,9,11,0,5,0,
-1000.00,9941696,199.097611,199.097583,-0.029,-0.144,C10 H15 O4     ,10,15,0,4,0,
-1000.00,2490588,199.133977,199.133968,-0.009,-0.046,C11 H19 O3     ,11,19,0,3,0,
528.07,4099993,200.038723,200.038688,-0.036,-0.179,C8 H10 N O3 S  ,8,10,1,3,1,
434.80,3721127,200.056468,200.056446,-0.022,-0.112,C8 H10 N O5    ,8,10,1,5,0,
395.69,3174851,200.092847,200.092832,-0.015,-0.076,C9 H14 N O4    ,9,14,1,4,0,
562.94,2226325,201.018533,201.018681,0.147,0.733,C3 H9 N2 O6 S  ,3,9,2,6,1,
57.19,12724376,201.022717,201.022703,-0.013,-0.066,C8 H9 O4 S     ,8,9,0,4,1,
164.40,7949507,201.076851,201.076847,-0.004,-0.017,C9 H13 O5      ,9,13,0,5,0,
333.16,3031007,201.113157,201.113233,0.076,0.377,C10 H17 O4     ,10,17,0,4,0,
-1000.00,2506406,202.017997,202.017952,-0.045,-0.221,C7 H8 N O4 S   ,7,8,1,4,1,
535.94,2223040,202.050958,202.050967,0.009,0.045,C11 H8 N O3    ,11,8,1,3,0,
342.90,3387857,202.072112,202.072096,-0.016,-0.078,C8 H12 N O5    ,8,12,1,5,0,
537.23,2040368,202.192494,202.192486,-0.008,-0.038,C10 H24 N3 O   ,10,24,3,1,0,
564.17,2289329,203.001969,203.001968,-0.001,-0.007,C7 H7 O5 S     ,7,7,0,5,1,
-1000.00,5448398,203.038375,203.038353,-0.022,-0.108,C8 H11 O4 S    ,8,11,0,4,1,
573.69,3141340,203.056141,203.056112,-0.030,-0.146,C8 H11 O6      ,8,11,0,6,0,
592.41,2564840,203.071240,203.071368,0.128,0.631,C12 H11 O3     ,12,11,0,3,0,
-1000.00,2994425,203.092479,203.092497,0.018,0.089,C9 H15 O5      ,9,15,0,5,0,
496.22,2042117,203.107776,203.107753,-0.023,-0.114,C13 H15 O2     ,13,15,0,2,0,
575.83,2045924,204.030248,204.030231,-0.016,-0.080,C10 H6 N O4    ,10,6,1,4,0,
308.66,3626497,204.066557,204.066617,0.060,0.292,C11 H10 N O3   ,11,10,1,3,0,
152.39,11650300,205.017637,205.017618,-0.019,-0.091,C7 H9 O5 S     ,7,9,0,5,1,
358.22,5957911,205.050643,205.050632,-0.011,-0.052,C11 H9 O4      ,11,9,0,4,0,
554.98,3406106,205.054011,205.054003,-0.008,-0.037,C8 H13 O4 S    ,8,13,0,4,1,
-1000.00,3376928,205.061858,205.061866,0.007,0.035,C10 H9 N2 O3   ,10,9,2,3,0,
264.83,4763956,205.087024,205.087018,-0.006,-0.028,C12 H13 O3     ,12,13,0,3,0,
682.01,2064947,206.036198,206.035985,-0.212,-1.031,C12 H4 N3 O    ,12,4,3,1,0,
-1000.00,2165301,206.039400,206.039356,-0.043,-0.209,C9 H8 N3 O S   ,9,8,3,1,1,
133.47,10844218,206.045888,206.045881,-0.007,-0.033,C10 H8 N O4    ,10,8,1,4,0,
-1000.00,4144216,206.082284,206.082267,-0.017,-0.083,C11 H12 N O3   ,11,12,1,3,0,
-1000.00,4691802,207.029872,207.029897,0.025,0.121,C10 H7 O5      ,10,7,0,5,0,
401.96,7129976,207.066280,207.066282,0.002,0.010,C11 H11 O4     ,11,11,0,4,0,
-1000.00,3228033,207.077405,207.077516,0.111,0.536,C10 H11 N2 O3  ,10,11,2,3,0,
-1000.00,5204886,207.102640,207.102668,0.028,0.136,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2320287,207.113933,207.113901,-0.031,-0.152,C11 H15 N2 O2  ,11,15,2,2,0,
350.51,6803110,208.061543,208.061531,-0.011,-0.055,C10 H10 N O4   ,10,10,1,4,0,
-1000.00,2955971,208.097913,208.097917,0.004,0.020,C11 H14 N O3   ,11,14,1,3,0,
674.89,2072000,209.027671,209.027789,0.118,0.565,C10 H9 O3 S    ,10,9,0,3,1,
