mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
694.07,9422626,298.104464,298.104459,-0.005,-0.018,C12 H16 N3 O6  ,12,16,3,6,0,
247.27,13190965,298.129616,298.129611,-0.005,-0.016,C14 H20 N O6   ,14,20,1,6,0,
724.00,4699966,298.140851,298.140844,-0.006,-0.021,C13 H20 N3 O5  ,13,20,3,5,0,
-1000.00,3624353,298.931226,298.931047,-0.178,-0.597,C H3 N2 O14 S  ,1,3,2,14,1,
382.95,4856268,298.986667,298.986712,0.045,0.151,C11 H7 O8 S    ,11,7,0,8,1,
412.32,4867557,299.019753,299.019726,-0.027,-0.089,C15 H7 O7      ,15,7,0,7,0,
36.76,38595048,299.023123,299.023097,-0.026,-0.086,C12 H11 O7 S   ,12,11,0,7,1,
548.67,9464305,299.034333,299.034331,-0.002,-0.008,C11 H11 N2 O6 S,11,11,2,6,1,
111.79,28150262,299.040842,299.040856,0.014,0.046,C12 H11 O9     ,12,11,0,9,0,
352.09,10181121,299.056122,299.056112,-0.010,-0.034,C16 H11 O6     ,16,11,0,6,0,
25.91,68266496,299.059471,299.059483,0.012,0.039,C13 H15 O6 S   ,13,15,0,6,1,
48.57,108915216,299.077258,299.077241,-0.017,-0.057,C13 H15 O8     ,13,15,0,8,0,
720.08,22907418,299.088464,299.088474,0.010,0.035,C12 H15 N2 O7  ,12,15,2,7,0,
334.13,7836190,299.092501,299.092497,-0.004,-0.014,C17 H15 O5     ,17,15,0,5,0,
6.87,189032992,299.095841,299.095868,0.027,0.090,C14 H19 O5 S   ,14,19,0,5,1,
38.90,111143472,299.113645,299.113627,-0.019,-0.063,C14 H19 O7     ,14,19,0,7,0,
698.64,14981687,299.124852,299.124860,0.008,0.028,C13 H19 N2 O6  ,13,19,2,6,0,
559.20,6591034,299.128823,299.128883,0.060,0.201,C18 H19 O4     ,18,19,0,4,0,
8.01,48949832,299.150023,299.150012,-0.011,-0.036,C15 H23 O6     ,15,23,0,6,0,
721.00,3225171,299.161252,299.161245,-0.007,-0.023,C14 H23 N2 O5  ,14,23,2,5,0,
-1000.00,7404134,299.186358,299.186398,0.039,0.131,C16 H27 O5     ,16,27,0,5,0,
214.33,10517737,300.018340,300.018346,0.007,0.022,C11 H10 N O7 S ,11,10,1,7,1,
729.37,5234947,300.051326,300.051361,0.034,0.115,C15 H10 N O6   ,15,10,1,6,0,
660.40,18476294,300.054711,300.054732,0.021,0.071,C12 H14 N O6 S ,12,14,1,6,1,
574.26,27675924,300.072516,300.072490,-0.026,-0.085,C12 H14 N O8   ,12,14,1,8,0,
748.90,3205404,300.083774,300.083723,-0.050,-0.167,C11 H14 N3 O7  ,11,14,3,7,0,
695.47,9780511,300.087696,300.087746,0.050,0.166,C16 H14 N O5   ,16,14,1,5,0,
855.88,2827562,300.102256,300.102351,0.095,0.317,C12 H18 N3 O4 S,12,18,3,4,1,
198.26,26324272,300.108864,300.108875,0.012,0.039,C13 H18 N O7   ,13,18,1,7,0,
697.16,6966584,300.120088,300.120109,0.020,0.068,C12 H18 N3 O6  ,12,18,3,6,0,
715.98,3773755,300.124081,300.124132,0.051,0.169,C17 H18 N O4   ,17,18,1,4,0,
493.72,5496140,300.145257,300.145261,0.004,0.013,C14 H22 N O6   ,14,22,1,6,0,
189.67,12967906,301.002353,301.002362,0.009,0.031,C11 H9 O8 S    ,11,9,0,8,1,
5.89,99938304,301.038744,301.038747,0.003,0.011,C12 H13 O7 S   ,12,13,0,7,1,
178.62,16613383,301.049960,301.049981,0.020,0.068,C11 H13 N2 O6 S,11,13,2,6,1,
60.23,71331856,301.056510,301.056506,-0.005,-0.016,C12 H13 O9     ,12,13,0,9,0,
271.35,15065112,301.071759,301.071762,0.003,0.010,C16 H13 O6     ,16,13,0,6,0,
553.67,51015708,301.075107,301.075133,0.026,0.086,C13 H17 O6 S   ,13,17,0,6,1,
642.50,5773348,301.086324,301.086366,0.042,0.141,C12 H17 N2 O5 S,12,17,2,5,1,
94.51,96792616,301.092910,301.092891,-0.019,-0.063,C13 H17 O8     ,13,17,0,8,0,
682.70,14000177,301.104136,301.104124,-0.011,-0.037,C12 H17 N2 O7  ,12,17,2,7,0,
