mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
760.27,5150208,227.067328,227.067345,0.018,0.077,C9 H11 N2 O5   ,9,11,2,5,0,
9.69,27793942,227.092482,227.092497,0.015,0.066,C11 H15 O5     ,11,15,0,5,0,
711.12,3427360,227.103688,227.103731,0.042,0.186,C10 H15 N2 O4  ,10,15,2,4,0,
-1000.00,9447991,227.128893,227.128883,-0.010,-0.043,C12 H19 O4     ,12,19,0,4,0,
-1000.00,2286141,227.997097,227.997217,0.120,0.525,C8 H6 N O5 S   ,8,6,1,5,1,
576.29,5054813,228.033619,228.033602,-0.016,-0.071,C9 H10 N O4 S  ,9,10,1,4,1,
546.96,6747501,228.051380,228.051361,-0.019,-0.084,C9 H10 N O6    ,9,10,1,6,0,
171.38,6604174,228.087802,228.087746,-0.055,-0.243,C10 H14 N O5   ,10,14,1,5,0,
67.01,19374284,229.017632,229.017618,-0.014,-0.059,C9 H9 O5 S     ,9,9,0,5,1,
307.99,3145961,229.050649,229.050632,-0.017,-0.074,C13 H9 O4      ,13,9,0,4,0,
588.87,7434476,229.054008,229.054003,-0.005,-0.021,C10 H13 O4 S   ,10,13,0,4,1,
522.48,2089974,229.065402,229.065237,-0.165,-0.719,C9 H13 N2 O3 S ,9,13,2,3,1,
68.51,39166204,229.071746,229.071762,0.015,0.067,C10 H13 O6     ,10,13,0,6,0,
731.60,3173126,229.082972,229.082995,0.023,0.099,C9 H13 N2 O5   ,9,13,2,5,0,
29.35,12386588,229.108167,229.108147,-0.020,-0.087,C11 H17 O5     ,11,17,0,5,0,
-1000.00,3325245,229.144489,229.144533,0.043,0.190,C12 H21 O4     ,12,21,0,4,0,
-1000.00,7320646,230.012856,230.012867,0.011,0.050,C8 H8 N O5 S   ,8,8,1,5,1,
661.33,2926179,230.045881,230.045881,0.000,0.001,C12 H8 N O4    ,12,8,1,4,0,
197.40,5237862,230.049301,230.049252,-0.048,-0.210,C9 H12 N O4 S  ,9,12,1,4,1,
299.18,5098614,230.067017,230.067011,-0.006,-0.027,C9 H12 N O6    ,9,12,1,6,0,
527.76,4088982,230.103361,230.103396,0.035,0.151,C10 H16 N O5   ,10,16,1,5,0,
-1000.00,7439287,230.996892,230.996883,-0.010,-0.042,C8 H7 O6 S     ,8,7,0,6,1,
713.07,2116542,231.004748,231.004745,-0.003,-0.015,C10 H3 N2 O5   ,10,3,2,5,0,
219.39,4130772,231.029882,231.029897,0.015,0.063,C12 H7 O5      ,12,7,0,5,0,
133.48,9082839,231.033288,231.033268,-0.020,-0.086,C9 H11 O5 S    ,9,11,0,5,1,
234.98,11466727,231.051046,231.051026,-0.020,-0.085,C9 H11 O7      ,9,11,0,7,0,
-1000.00,4894709,231.066326,231.066282,-0.044,-0.190,C13 H11 O4     ,13,11,0,4,0,
125.19,15169543,231.087399,231.087412,0.013,0.055,C10 H15 O6     ,10,15,0,6,0,
474.47,2256208,232.025152,232.025146,-0.006,-0.025,C11 H6 N O5    ,11,6,1,5,0,
104.78,8096595,232.028512,232.028517,0.005,0.023,C8 H10 N O5 S  ,8,10,1,5,1,
502.48,6041457,232.061540,232.061531,-0.009,-0.039,C12 H10 N O4   ,12,10,1,4,0,
530.05,3172740,232.082655,232.082661,0.005,0.024,C9 H14 N O6    ,9,14,1,6,0,
513.38,2782610,232.097873,232.097917,0.044,0.190,C13 H14 N O3   ,13,14,1,3,0,
312.19,7890630,233.012547,233.012533,-0.014,-0.061,C8 H9 O6 S     ,8,9,0,6,1,
126.54,6495972,233.045575,233.045547,-0.028,-0.120,C12 H9 O5      ,12,9,0,5,0,
622.54,6344423,233.048926,233.048918,-0.008,-0.036,C9 H13 O5 S    ,9,13,0,5,1,
575.53,6110967,233.066660,233.066676,0.017,0.071,C9 H13 O7      ,9,13,0,7,0,
-1000.00,9920261,233.081922,233.081932,0.011,0.047,C13 H13 O4     ,13,13,0,4,0,
-1000.00,3809032,233.085318,233.085304,-0.014,-0.061,C10 H17 O4 S   ,10,17,0,4,1,
504.43,3604760,233.103095,233.103062,-0.034,-0.144,C10 H17 O6     ,10,17,0,6,0,
-1000.00,4108069,233.118320,233.118318,-0.002,-0.009,C14 H17 O3     ,14,17,0,3,0,
-1000.00,10921798,233.154725,233.154703,-0.022,-0.094,C15 H21 O2     ,15,21,0,2,0,
