mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
277.59,4338043,205.014316,205.014247,-0.069,-0.335,C10 H5 O5      ,10,5,0,5,0,
413.14,6245785,205.050624,205.050632,0.008,0.041,C11 H9 O4      ,11,9,0,4,0,
466.81,2848683,205.071812,205.071762,-0.051,-0.247,C8 H13 O6      ,8,13,0,6,0,
302.96,4137911,205.087058,205.087018,-0.040,-0.196,C12 H13 O3     ,12,13,0,3,0,
-1000.00,4226505,205.108226,205.108147,-0.079,-0.386,C9 H17 O5      ,9,17,0,5,0,
535.19,3332820,206.045954,206.045881,-0.073,-0.354,C10 H8 N O4    ,10,8,1,4,0,
460.23,5451772,207.012179,207.012139,-0.040,-0.195,C10 H7 O3 S    ,10,7,0,3,1,
138.88,6063115,207.029901,207.029897,-0.004,-0.020,C10 H7 O5      ,10,7,0,5,0,
211.57,6386730,207.066309,207.066282,-0.027,-0.129,C11 H11 O4     ,11,11,0,4,0,
-1000.00,5506120,207.102646,207.102668,0.022,0.105,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2489680,208.025117,208.025146,0.029,0.140,C9 H6 N O5     ,9,6,1,5,0,
480.02,3362671,208.061550,208.061531,-0.018,-0.087,C10 H10 N O4   ,10,10,1,4,0,
334.14,4445069,208.097887,208.097917,0.029,0.141,C11 H14 N O3   ,11,14,1,3,0,
-1000.00,9192111,209.045567,209.045547,-0.020,-0.094,C10 H9 O5      ,10,9,0,5,0,
283.86,8382158,209.081941,209.081932,-0.008,-0.040,C11 H13 O4     ,11,13,0,4,0,
357.53,3653357,209.118379,209.118318,-0.061,-0.293,C12 H17 O3     ,12,17,0,3,0,
579.15,2042083,210.009939,210.009771,-0.168,-0.801,C14 N3         ,14,0,3,0,0,
235.73,5598717,210.040769,210.040796,0.027,0.130,C9 H8 N O5     ,9,8,1,5,0,
169.58,12098076,210.077209,210.077181,-0.027,-0.130,C10 H12 N O4   ,10,12,1,4,0,
-1000.00,2199351,211.006989,211.007053,0.064,0.304,C9 H7 O4 S     ,9,7,0,4,1,
-1000.00,9094470,211.024819,211.024812,-0.007,-0.033,C9 H7 O6       ,9,7,0,6,0,
34.25,15002981,211.061218,211.061197,-0.021,-0.098,C10 H11 O5     ,10,11,0,5,0,
726.35,2491759,211.072492,211.072430,-0.062,-0.292,C9 H11 N2 O4   ,9,11,2,4,0,
-1000.00,10888580,211.097615,211.097583,-0.033,-0.156,C11 H15 O4     ,11,15,0,4,0,
-1000.00,2118051,211.133970,211.133968,-0.002,-0.007,C12 H19 O3     ,12,19,0,3,0,
665.18,3235484,212.020000,212.020060,0.061,0.287,C8 H6 N O6     ,8,6,1,6,0,
