mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,3303314,1253.282539,1253.282236,-0.302,-0.241,C84 H166 N O4  ,84,166,1,4,0,
-1000.00,3303314,1253.282539,1253.283192,0.653,0.521,C49 H61 N2 O34 S,49,61,2,34,1,
-1000.00,3303314,1253.282539,1253.283705,1.166,0.930,C36 H69 O45 S  ,36,69,0,45,1,
-1000.00,3303314,1253.282539,1253.281341,-1.197,-0.955,C61 H57 O27 S  ,61,57,0,27,1,
-1000.00,3303314,1253.282539,1253.283843,1.305,1.041,C57 H57 O32    ,57,57,0,32,0,
-1000.00,3502147,1255.796235,1255.796440,0.205,0.163,C20 H14 N3 O58 S,20,14,3,58,1,
-1000.00,3502147,1255.796235,1255.796492,0.257,0.205,C77 H111 N2 O10 S,77,111,2,10,1,
-1000.00,3502147,1255.796235,1255.797005,0.770,0.613,C64 H119 O21 S ,64,119,0,21,1,
-1000.00,3502147,1255.796235,1255.797092,0.856,0.682,C28 H10 N O56  ,28,10,1,56,0,
-1000.00,3502147,1255.796235,1255.797144,0.909,0.724,C85 H107 O8    ,85,107,0,8,0,
-1000.00,3315624,1258.688863,1258.688852,-0.011,-0.009,C62 H104 N3 O21 S,62,104,3,21,1,
-1000.00,3315624,1258.688863,1258.688991,0.128,0.101,C83 H92 N3 O8  ,83,92,3,8,0,
-1000.00,3315624,1258.688863,1258.689451,0.588,0.467,C13 H3 N2 O67  ,13,3,2,67,0,
-1000.00,3315624,1258.688863,1258.689504,0.641,0.509,C70 H100 N O19 ,70,100,1,19,0,
-1000.00,3375373,1266.947669,1266.947385,-0.285,-0.225,C34 H27 O52    ,34,27,0,52,0,
-1000.00,3375373,1266.947669,1266.946872,-0.798,-0.630,C47 H19 N2 O41 ,47,19,2,41,0,
-1000.00,3375373,1266.947669,1266.946785,-0.884,-0.698,C83 H128 N O6 S,83,128,1,6,1,
-1000.00,3375373,1266.947669,1266.946733,-0.936,-0.739,C26 H31 N2 O54 S,26,31,2,54,1,
-1000.00,3375373,1266.947669,1266.948636,0.966,0.763,C71 H132 N3 O13 S,71,132,3,13,1,
-1000.00,3375373,1266.947669,1266.948774,1.105,0.872,C92 H120 N3    ,92,120,3,0,0,
-1000.00,3351567,1268.566567,1268.566547,-0.020,-0.016,C56 H90 N3 O29 ,56,90,3,29,0,
-1000.00,3351567,1268.566567,1268.567555,0.988,0.779,C78 H82 N3 O11 S,78,82,3,11,1,
-1000.00,3330559,1271.769142,1271.769270,0.128,0.101,C58 H115 N2 O27,58,115,2,27,0,
-1000.00,3330559,1271.769142,1271.768375,-0.767,-0.603,C35 H6 N O50 S ,35,6,1,50,1,
-1000.00,3330559,1271.769142,1271.770225,1.083,0.852,C23 H10 N3 O57 S,23,10,3,57,1,
-1000.00,3330559,1271.769142,1271.770278,1.135,0.893,C80 H107 N2 O9 S,80,107,2,9,1,
-1000.00,3399777,1279.580635,1279.580681,0.047,0.037,C69 H87 N2 O21 ,69,87,2,21,0,
-1000.00,3399777,1279.580635,1279.580543,-0.092,-0.072,C48 H99 N2 O34 S,48,99,2,34,1,
-1000.00,3399777,1279.580635,1279.581194,0.560,0.438,C56 H95 O32    ,56,95,0,32,0,
-1000.00,3949493,1285.813642,1285.813582,-0.060,-0.047,C79 H113 O14   ,79,113,0,14,0,
-1000.00,3949493,1285.813642,1285.813530,-0.113,-0.087,C22 H16 N O62  ,22,16,1,62,0,
-1000.00,3949493,1285.813642,1285.813016,-0.626,-0.487,C35 H8 N3 O51  ,35,8,3,51,0,
-1000.00,3949493,1285.813642,1285.812930,-0.712,-0.554,C71 H117 N2 O16 S,71,117,2,16,1,
-1000.00,3949493,1285.813642,1285.812878,-0.764,-0.594,C14 H20 N3 O64 S,14,20,3,64,1,
-1000.00,3321523,1291.950913,1291.951365,0.452,0.350,C38 H26 N3 O46 S,38,26,3,46,1,
-1000.00,3321523,1291.950913,1291.950410,-0.504,-0.390,C73 H131 N2 O16,73,131,2,16,0,
-1000.00,3321523,1291.950913,1291.950357,-0.556,-0.430,C16 H34 N3 O64 ,16,34,3,64,0,
-1000.00,3321523,1291.950913,1291.951878,0.965,0.747,C25 H34 N O57 S,25,34,1,57,1,
-1000.00,3321523,1291.950913,1291.951930,1.017,0.787,C82 H131 O9 S  ,82,131,0,9,1,
-1000.00,3321523,1291.950913,1291.952017,1.103,0.854,C46 H22 N O44  ,46,22,1,44,0,
-1000.00,3472425,1295.042022,1295.042073,0.051,0.040,C27 H43 O58    ,27,43,0,58,0,
-1000.00,3472425,1295.042022,1295.041560,-0.462,-0.357,C40 H35 N2 O47 ,40,35,2,47,0,
-1000.00,3472425,1295.042022,1295.041474,-0.548,-0.423,C76 H144 N O12 S,76,144,1,12,1,
-1000.00,3472425,1295.042022,1295.043080,1.059,0.818,C49 H35 O40 S  ,49,35,0,40,1,
-1000.00,3472425,1295.042022,1295.040961,-1.061,-0.819,C89 H136 N3 O S,89,136,3,1,1,
-1000.00,3924089,1297.502258,1297.501368,-0.889,-0.685,C75 H77 O20    ,75,77,0,20,0,
-1000.00,3924089,1297.502258,1297.503219,0.961,0.741,C63 H81 N2 O27 ,63,81,2,27,0,
-1000.00,3924089,1297.502258,1297.501230,-1.028,-0.792,C54 H89 O33 S  ,54,89,0,33,1,
-1000.00,3719390,1304.707344,1304.707685,0.340,0.261,C22 H5 N2 O61 S,22,5,2,61,1,
-1000.00,3719390,1304.707344,1304.707737,0.393,0.301,C79 H102 N O13 S,79,102,1,13,1,
-1000.00,3719390,1304.707344,1304.706729,-0.615,-0.471,C57 H110 N O31 ,57,110,1,31,0,
-1000.00,3719390,1304.707344,1304.708198,0.853,0.654,C9 H13 O72 S   ,9,13,0,72,1,
-1000.00,3719390,1304.707344,1304.708336,0.992,0.760,C30 H O59      ,30,1,0,59,0,
-1000.00,3719390,1304.707344,1304.706216,-1.128,-0.865,C70 H102 N3 O20,70,102,3,20,0,
-1000.00,3541050,1306.698845,1306.698886,0.041,0.032,C85 H96 N O11  ,85,96,1,11,0,
-1000.00,3541050,1306.698845,1306.698748,-0.097,-0.074,C64 H108 N O24 S,64,108,1,24,1,
-1000.00,3541050,1306.698845,1306.698696,-0.150,-0.115,C7 H11 N2 O72 S,7,11,2,72,1,
-1000.00,3541050,1306.698845,1306.699347,0.502,0.384,C15 H7 O70     ,15,7,0,70,0,
-1000.00,3541050,1306.698845,1306.698235,-0.610,-0.467,C77 H100 N3 O13 S,77,100,3,13,1,
-1000.00,3410044,1306.850701,1306.850302,-0.399,-0.306,C82 H116 N O12 ,82,116,1,12,0,
-1000.00,3410044,1306.850701,1306.850249,-0.452,-0.346,C25 H19 N2 O60 ,25,19,2,60,0,
-1000.00,3410044,1306.850701,1306.849650,-1.051,-0.804,C74 H120 N3 O14 S,74,120,3,14,1,
-1000.00,3410044,1306.850701,1306.851770,1.069,0.818,C34 H19 O53 S  ,34,19,0,53,1,
-1000.00,3409562,1320.478870,1320.479308,0.438,0.332,C46 H86 N3 O40 ,46,86,3,40,0,
-1000.00,3409562,1320.478870,1320.477458,-1.412,-1.070,C58 H82 N O33  ,58,82,1,33,0,
-1000.00,3409562,1320.478870,1320.480316,1.446,1.095,C68 H78 N3 O22 S,68,78,3,22,1,
-1000.00,3516301,1321.089382,1321.089486,0.105,0.079,C74 H150 N3 O13 S,74,150,3,13,1,
-1000.00,3516301,1321.089382,1321.089625,0.243,0.184,C95 H138 N3    ,95,138,3,0,0,
-1000.00,3516301,1321.089382,1321.090086,0.704,0.533,C25 H49 N2 O59 ,25,49,2,59,0,
-1000.00,3516301,1321.089382,1321.090138,0.757,0.573,C82 H146 N O11 ,82,146,1,11,0,
-1000.00,3516301,1321.089382,1321.088235,-1.146,-0.868,C37 H45 O52    ,37,45,0,52,0,
-1000.00,3408953,1321.519670,1321.519996,0.326,0.246,C78 H81 O17 S  ,78,81,0,17,1,
-1000.00,3408953,1321.519670,1321.518988,-0.682,-0.516,C56 H89 O35    ,56,89,0,35,0,
-1000.00,3408953,1321.519670,1321.518475,-1.195,-0.904,C69 H81 N2 O24 ,69,81,2,24,0,
-1000.00,3408953,1321.519670,1321.518336,-1.334,-1.009,C48 H93 N2 O37 S,48,93,2,37,1,
-1000.00,3737092,1325.298333,1325.298448,0.115,0.087,C59 H61 N2 O31 S,59,61,2,31,1,
-1000.00,3737092,1325.298333,1325.298961,0.628,0.474,C46 H69 O42 S  ,46,69,0,42,1,
-1000.00,3737092,1325.298333,1325.299099,0.767,0.578,C67 H57 O29    ,67,57,0,29,0,
-1000.00,3737092,1325.298333,1325.297493,-0.840,-0.634,C94 H166 N O   ,94,166,1,1,0,
-1000.00,3737092,1325.298333,1325.297440,-0.893,-0.674,C37 H69 N2 O49 ,37,69,2,49,0,
-1000.00,3370239,1329.990609,1329.990646,0.037,0.028,C34 H32 N3 O53 ,34,32,3,53,0,
-1000.00,3370239,1329.990609,1329.990560,-0.049,-0.037,C70 H141 N2 O18 S,70,141,2,18,1,
-1000.00,3370239,1329.990609,1329.990699,0.090,0.067,C91 H129 N2 O5 ,91,129,2,5,0,
-1000.00,3370239,1329.990609,1329.991160,0.550,0.414,C21 H40 N O64  ,21,40,1,64,0,
-1000.00,3370239,1329.990609,1329.991212,0.603,0.453,C78 H137 O16   ,78,137,0,16,0,
-1000.00,3504190,1335.045583,1335.045719,0.136,0.102,C32 H43 N2 O53 S,32,43,2,53,1,
-1000.00,3504190,1335.045583,1335.045771,0.188,0.141,C89 H140 N O5 S,89,140,1,5,1,
-1000.00,3504190,1335.045583,1335.045857,0.274,0.205,C53 H31 N2 O40 ,53,31,2,40,0,
-1000.00,3504190,1335.045583,1335.046370,0.787,0.590,C40 H39 O51    ,40,39,0,51,0,
-1000.00,3504190,1335.045583,1335.044251,-1.333,-0.998,C80 H140 N3 O12,80,140,3,12,0,
-1000.00,3569218,1339.413078,1339.413871,0.794,0.593,C52 H79 N2 O36 S,52,79,2,36,1,
-1000.00,3569218,1339.413078,1339.412021,-1.057,-0.789,C64 H75 O29 S  ,64,75,0,29,1,
-1000.00,3569218,1339.413078,1339.414523,1.445,1.079,C60 H75 O34    ,60,75,0,34,0,
-1000.00,3736956,1341.827846,1341.827859,0.013,0.010,C18 H24 N O66 S,18,24,1,66,1,
-1000.00,3736956,1341.827846,1341.827912,0.065,0.049,C75 H121 O18 S ,75,121,0,18,1,
-1000.00,3736956,1341.827846,1341.827998,0.151,0.113,C39 H12 N O53  ,39,12,1,53,0,
-1000.00,3736956,1341.827846,1341.827399,-0.448,-0.334,C88 H113 N2 O7 S,88,113,2,7,1,
-1000.00,3736956,1341.827846,1341.827346,-0.500,-0.373,C31 H16 N3 O55 S,31,16,3,55,1,
