mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
427.03,2790558,203.001930,203.001968,0.038,0.189,C7 H7 O5 S     ,7,7,0,5,1,
-1000.00,4476349,203.038375,203.038353,-0.022,-0.107,C8 H11 O4 S    ,8,11,0,4,1,
174.77,6886348,203.056126,203.056112,-0.015,-0.073,C8 H11 O6      ,8,11,0,6,0,
-1000.00,5000171,203.092487,203.092497,0.010,0.048,C9 H15 O5      ,9,15,0,5,0,
-1000.00,2695690,203.128910,203.128883,-0.027,-0.133,C10 H19 O4     ,10,19,0,4,0,
-1000.00,2302992,204.033609,204.033602,-0.007,-0.033,C7 H10 N O4 S  ,7,10,1,4,1,
130.62,7934558,205.017642,205.017618,-0.024,-0.116,C7 H9 O5 S     ,7,9,0,5,1,
597.00,2547301,205.025525,205.025480,-0.044,-0.217,C9 H5 N2 O4    ,9,5,2,4,0,
558.31,2262120,205.028827,205.028851,0.024,0.117,C6 H9 N2 O4 S  ,6,9,2,4,1,
312.40,3221626,205.050619,205.050632,0.013,0.063,C11 H9 O4      ,11,9,0,4,0,
406.72,4897405,205.054026,205.054003,-0.022,-0.109,C8 H13 O4 S    ,8,13,0,4,1,
-1000.00,3131546,205.087023,205.087018,-0.005,-0.026,C12 H13 O3     ,12,13,0,3,0,
31.43,22522326,206.045900,206.045881,-0.019,-0.090,C10 H8 N O4    ,10,8,1,4,0,
463.78,3614711,206.082224,206.082267,0.043,0.209,C11 H12 N O3   ,11,12,1,3,0,
-1000.00,2443026,206.996893,206.996883,-0.010,-0.048,C6 H7 O6 S     ,6,7,0,6,1,
569.62,3403039,207.012178,207.012139,-0.040,-0.192,C10 H7 O3 S    ,10,7,0,3,1,
-1000.00,3527983,207.029946,207.029897,-0.049,-0.236,C10 H7 O5      ,10,7,0,5,0,
-1000.00,2035249,207.033265,207.033268,0.003,0.013,C7 H11 O5 S    ,7,11,0,5,1,
721.64,2361400,207.041169,207.041130,-0.039,-0.187,C9 H7 N2 O4    ,9,7,2,4,0,
-1000.00,5548366,207.066322,207.066282,-0.040,-0.193,C11 H11 O4     ,11,11,0,4,0,
-1000.00,2444120,207.077577,207.077516,-0.061,-0.295,C10 H11 N2 O3  ,10,11,2,3,0,
-1000.00,2397550,207.102672,207.102668,-0.004,-0.019,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2146424,207.113896,207.113901,0.006,0.028,C11 H15 N2 O2  ,11,15,2,2,0,
177.58,6977716,208.061535,208.061531,-0.004,-0.018,C10 H10 N O4   ,10,10,1,4,0,
304.58,3514580,208.097882,208.097917,0.034,0.166,C11 H14 N O3   ,11,14,1,3,0,
-1000.00,4391925,209.009176,209.009161,-0.014,-0.068,C9 H5 O6       ,9,5,0,6,0,
-1000.00,8903700,209.045577,209.045547,-0.030,-0.143,C10 H9 O5      ,10,9,0,5,0,
-1000.00,2239767,209.048980,209.048918,-0.062,-0.296,C7 H13 O5 S    ,7,13,0,5,1,
692.07,4550686,209.056791,209.056780,-0.010,-0.049,C9 H9 N2 O4    ,9,9,2,4,0,
-1000.00,7519285,209.081953,209.081932,-0.021,-0.100,C11 H13 O4     ,11,13,0,4,0,
120.62,10927159,209.085307,209.085304,-0.003,-0.016,C8 H17 O4 S    ,8,17,0,4,1,
-1000.00,2878014,209.093206,209.093166,-0.040,-0.193,C10 H13 N2 O3  ,10,13,2,3,0,
-1000.00,3931732,209.118321,209.118318,-0.003,-0.016,C12 H17 O3     ,12,17,0,3,0,
468.94,2393442,210.004475,210.004410,-0.065,-0.308,C8 H4 N O6     ,8,4,1,6,0,
660.73,2108016,210.019632,210.019667,0.035,0.165,C12 H4 N O3    ,12,4,1,3,0,
730.54,2060147,210.023117,210.023038,-0.080,-0.380,C9 H8 N O3 S   ,9,8,1,3,1,
179.04,7976835,210.040777,210.040796,0.019,0.091,C9 H8 N O5     ,9,8,1,5,0,
46.31,13707171,210.077191,210.077181,-0.009,-0.044,C10 H12 N O4   ,10,12,1,4,0,
-1000.00,8209131,211.024779,211.024812,0.032,0.153,C9 H7 O6       ,9,7,0,6,0,
689.04,2839797,211.035998,211.036045,0.046,0.220,C8 H7 N2 O5    ,8,7,2,5,0,
34.64,13671179,211.061218,211.061197,-0.021,-0.099,C10 H11 O5     ,10,11,0,5,0,
664.85,7410453,211.072432,211.072430,-0.002,-0.008,C9 H11 N2 O4   ,9,11,2,4,0,
