mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,7309142,207.029886,207.029897,0.011,0.054,C10 H7 O5      ,10,7,0,5,0,
199.05,9215861,207.066296,207.066282,-0.014,-0.068,C11 H11 O4     ,11,11,0,4,0,
698.36,2157432,207.069611,207.069654,0.043,0.205,C8 H15 O4 S    ,8,15,0,4,1,
-1000.00,3008902,207.087406,207.087412,0.006,0.027,C8 H15 O6      ,8,15,0,6,0,
164.48,5552019,207.102676,207.102668,-0.008,-0.041,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2223269,207.123612,207.123797,0.185,0.895,C9 H19 O5      ,9,19,0,5,0,
-1000.00,2069170,207.139122,207.139053,-0.068,-0.330,C13 H19 O2     ,13,19,0,2,0,
319.34,4547768,208.061515,208.061531,0.017,0.080,C10 H10 N O4   ,10,10,1,4,0,
-1000.00,2441430,208.097747,208.097917,0.170,0.817,C11 H14 N O3   ,11,14,1,3,0,
-1000.00,6840792,209.009145,209.009161,0.016,0.077,C9 H5 O6       ,9,5,0,6,0,
-1000.00,13712886,209.045572,209.045547,-0.025,-0.118,C10 H9 O5      ,10,9,0,5,0,
322.70,7370261,209.081931,209.081932,0.002,0.009,C11 H13 O4     ,11,13,0,4,0,
23.96,32017944,209.085299,209.085304,0.005,0.024,C8 H17 O4 S    ,8,17,0,4,1,
-1000.00,8428084,209.118311,209.118318,0.007,0.031,C12 H17 O3     ,12,17,0,3,0,
574.55,2163795,209.154735,209.154703,-0.031,-0.150,C13 H21 O2     ,13,21,0,2,0,
-1000.00,4238659,210.040758,210.040796,0.038,0.180,C9 H8 N O5     ,9,8,1,5,0,
244.01,4985186,210.077158,210.077181,0.024,0.112,C10 H12 N O4   ,10,12,1,4,0,
-1000.00,2117481,210.985790,210.985924,0.134,0.636,C12 H3 O2 S    ,12,3,0,2,1,
117.00,11598986,211.024796,211.024812,0.016,0.075,C9 H7 O6       ,9,7,0,6,0,
