mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,3338344,226.066318,226.066223,-0.095,-0.419,C17 H8 N       ,17,8,1,0,0,
-1000.00,5567598,226.072093,226.072096,0.003,0.014,C10 H12 N O5   ,10,12,1,5,0,
-1000.00,2191503,226.108539,226.108482,-0.057,-0.253,C11 H16 N O4   ,11,16,1,4,0,
-1000.00,2224311,227.001916,227.001968,0.052,0.227,C9 H7 O5 S     ,9,7,0,5,1,
-1000.00,2303944,227.019734,227.019726,-0.008,-0.035,C9 H7 O7       ,9,7,0,7,0,
708.05,2204626,227.030794,227.030960,0.166,0.731,C8 H7 N2 O6    ,8,7,2,6,0,
85.18,16169944,227.038317,227.038353,0.036,0.158,C10 H11 O4 S   ,10,11,0,4,1,
108.63,14482409,227.056134,227.056112,-0.022,-0.097,C10 H11 O6     ,10,11,0,6,0,
42.10,16780298,227.092480,227.092497,0.017,0.076,C11 H15 O5     ,11,15,0,5,0,
763.05,2298388,227.103698,227.103731,0.033,0.145,C10 H15 N2 O4  ,10,15,2,4,0,
4.99,38730796,227.128899,227.128883,-0.017,-0.073,C12 H19 O4     ,12,19,0,4,0,
-1000.00,6377279,227.997207,227.997217,0.009,0.041,C8 H6 N O5 S   ,8,6,1,5,1,
608.31,3591024,228.051370,228.051361,-0.009,-0.039,C9 H10 N O6    ,9,10,1,6,0,
-1000.00,7714705,228.087802,228.087746,-0.056,-0.247,C10 H14 N O5   ,10,14,1,5,0,
-1000.00,3536306,228.124174,228.124132,-0.042,-0.184,C11 H18 N O4   ,11,18,1,4,0,
-1000.00,10257118,229.017618,229.017618,-0.000,-0.002,C9 H9 O5 S     ,9,9,0,5,1,
184.98,7951087,229.035419,229.035376,-0.043,-0.188,C9 H9 O7       ,9,9,0,7,0,
581.53,6484722,229.038729,229.038747,0.018,0.079,C6 H13 O7 S    ,6,13,0,7,1,
578.62,7863039,229.054020,229.054003,-0.016,-0.070,C10 H13 O4 S   ,10,13,0,4,1,
21.12,23704336,229.071747,229.071762,0.014,0.063,C10 H13 O6     ,10,13,0,6,0,
-1000.00,17367856,229.108171,229.108147,-0.024,-0.104,C11 H17 O5     ,11,17,0,5,0,
708.98,3407675,229.119419,229.119381,-0.039,-0.170,C10 H17 N2 O4  ,10,17,2,4,0,
5.01,39371600,229.144532,229.144533,0.000,0.002,C12 H21 O4     ,12,21,0,4,0,
573.45,2206579,229.180889,229.180918,0.029,0.126,C13 H25 O3     ,13,25,0,3,0,
-1000.00,6690409,230.012902,230.012867,-0.035,-0.153,C8 H8 N O5 S   ,8,8,1,5,1,
218.76,6335130,230.067074,230.067011,-0.063,-0.274,C9 H12 N O6    ,9,12,1,6,0,
-1000.00,6069947,230.103411,230.103396,-0.015,-0.064,C10 H16 N O5   ,10,16,1,5,0,
-1000.00,3868381,230.139854,230.139782,-0.072,-0.314,C11 H20 N O4   ,11,20,1,4,0,
208.27,5797355,230.996884,230.996883,-0.001,-0.004,C8 H7 O6 S     ,8,7,0,6,1,
-1000.00,2587145,231.029938,231.029897,-0.041,-0.176,C12 H7 O5      ,12,7,0,5,0,
-1000.00,8829452,231.033278,231.033268,-0.010,-0.043,C9 H11 O5 S    ,9,11,0,5,1,
162.00,11016732,231.051031,231.051026,-0.004,-0.019,C9 H11 O7      ,9,11,0,7,0,
587.33,2764330,231.066385,231.066282,-0.102,-0.443,C13 H11 O4     ,13,11,0,4,0,
11.00,22817340,231.087398,231.087412,0.014,0.060,C10 H15 O6     ,10,15,0,6,0,
-1000.00,12040798,231.123828,231.123797,-0.031,-0.133,C11 H19 O5     ,11,19,0,5,0,
-1000.00,6342272,231.160166,231.160183,0.017,0.075,C12 H23 O4     ,12,23,0,4,0,
205.05,5563801,232.028508,232.028517,0.009,0.039,C8 H10 N O5 S  ,8,10,1,5,1,
521.44,4783563,232.082713,232.082661,-0.052,-0.223,C9 H14 N O6    ,9,14,1,6,0,
585.98,8797676,232.119062,232.119046,-0.016,-0.069,C10 H18 N O5   ,10,18,1,5,0,
-1000.00,2101530,233.009061,233.009161,0.100,0.430,C11 H5 O6      ,11,5,0,6,0,
-1000.00,9077021,233.012540,233.012533,-0.007,-0.032,C8 H9 O6 S     ,8,9,0,6,1,
-1000.00,5538108,233.045581,233.045547,-0.034,-0.147,C12 H9 O5      ,12,9,0,5,0,
660.48,4281663,233.048927,233.048918,-0.009,-0.038,C9 H13 O5 S    ,9,13,0,5,1,
372.96,5552463,233.066686,233.066676,-0.010,-0.041,C9 H13 O7      ,9,13,0,7,0,
-1000.00,3685725,233.081946,233.081932,-0.014,-0.058,C13 H13 O4     ,13,13,0,4,0,
-1000.00,4918624,233.085334,233.085304,-0.030,-0.130,C10 H17 O4 S   ,10,17,0,4,1,
-1000.00,10469744,233.103080,233.103062,-0.018,-0.076,C10 H17 O6     ,10,17,0,6,0,
-1000.00,2537874,233.139482,233.139447,-0.035,-0.149,C11 H21 O5     ,11,21,0,5,0,
-1000.00,5066144,233.154743,233.154703,-0.039,-0.168,C15 H21 O2     ,15,21,0,2,0,
652.80,3310795,234.040734,234.040796,0.062,0.264,C11 H8 N O5    ,11,8,1,5,0,
671.52,3198158,234.044185,234.044167,-0.018,-0.076,C8 H12 N O5 S  ,8,12,1,5,1,
