mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,6407385,207.029894,207.029897,0.003,0.013,C10 H7 O5      ,10,7,0,5,0,
567.88,2032604,207.033280,207.033268,-0.012,-0.056,C7 H11 O5 S    ,7,11,0,5,1,
-1000.00,8559863,207.066315,207.066282,-0.033,-0.159,C11 H11 O4     ,11,11,0,4,0,
-1000.00,2602234,207.069674,207.069654,-0.020,-0.097,C8 H15 O4 S    ,8,15,0,4,1,
576.07,3419401,207.087450,207.087412,-0.038,-0.184,C8 H15 O6      ,8,15,0,6,0,
-1000.00,2793238,207.102626,207.102668,0.042,0.201,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2507039,207.113834,207.113901,0.068,0.327,C11 H15 N2 O2  ,11,15,2,2,0,
-1000.00,7212089,208.061553,208.061531,-0.022,-0.106,C10 H10 N O4   ,10,10,1,4,0,
-1000.00,3050584,208.097915,208.097917,0.002,0.009,C11 H14 N O3   ,11,14,1,3,0,
-1000.00,2320678,208.950854,208.950995,0.140,0.672,C3 H N2 O7 S   ,3,1,2,7,1,
-1000.00,5459800,209.009160,209.009161,0.001,0.005,C9 H5 O6       ,9,5,0,6,0,
657.86,2621799,209.027733,209.027789,0.055,0.264,C10 H9 O3 S    ,10,9,0,3,1,
-1000.00,11142006,209.045561,209.045547,-0.014,-0.066,C10 H9 O5      ,10,9,0,5,0,
707.83,4560256,209.056828,209.056780,-0.048,-0.230,C9 H9 N2 O4    ,9,9,2,4,0,
168.74,7880597,209.081903,209.081932,0.030,0.142,C11 H13 O4     ,11,13,0,4,0,
98.99,11002776,209.085308,209.085304,-0.004,-0.021,C8 H17 O4 S    ,8,17,0,4,1,
312.20,3861919,209.093136,209.093166,0.030,0.144,C10 H13 N2 O3  ,10,13,2,3,0,
-1000.00,4493236,209.118338,209.118318,-0.020,-0.094,C12 H17 O3     ,12,17,0,3,0,
430.95,2411475,209.154708,209.154703,-0.005,-0.022,C13 H21 O2     ,13,21,0,2,0,
737.77,2314419,210.023043,210.023038,-0.006,-0.026,C9 H8 N O3 S   ,9,8,1,3,1,
-1000.00,6844098,210.040764,210.040796,0.032,0.153,C9 H8 N O5     ,9,8,1,5,0,
41.41,11874017,210.077192,210.077181,-0.010,-0.048,C10 H12 N O4   ,10,12,1,4,0,
-1000.00,3854592,210.113559,210.113567,0.008,0.037,C11 H16 N O3   ,11,16,1,3,0,
673.76,2343161,211.007054,211.007053,-0.001,-0.003,C9 H7 O4 S     ,9,7,0,4,1,
-1000.00,6775304,211.024801,211.024812,0.011,0.051,C9 H7 O6       ,9,7,0,6,0,
737.83,2258706,211.036047,211.036045,-0.003,-0.012,C8 H7 N2 O5    ,8,7,2,5,0,
27.69,16001575,211.061219,211.061197,-0.022,-0.106,C10 H11 O5     ,10,11,0,5,0,
713.87,5768753,211.072451,211.072430,-0.021,-0.097,C9 H11 N2 O4   ,9,11,2,4,0,
-1000.00,13525574,211.097616,211.097583,-0.034,-0.159,C11 H15 O4     ,11,15,0,4,0,
-1000.00,2112848,211.108846,211.108816,-0.030,-0.144,C10 H15 N2 O3  ,10,15,2,3,0,
-1000.00,4773478,211.133961,211.133968,0.007,0.033,C12 H19 O3     ,12,19,0,3,0,
533.05,2230858,211.998062,211.998280,0.217,1.026,C3 H6 N3 O6 S  ,3,6,3,6,1,
648.09,4512093,212.020000,212.020060,0.060,0.284,C8 H6 N O6     ,8,6,1,6,0,
673.90,2812781,212.038672,212.038688,0.016,0.074,C9 H10 N O3 S  ,9,10,1,3,1,
62.00,12594556,212.056416,212.056446,0.030,0.140,C9 H10 N O5    ,9,10,1,5,0,
-1000.00,4938139,212.092854,212.092832,-0.023,-0.106,C10 H14 N O4   ,10,14,1,4,0,
-1000.00,2341021,212.986438,212.986318,-0.121,-0.566,C8 H5 O5 S     ,8,5,0,5,1,
-1000.00,12976316,213.022731,213.022703,-0.028,-0.132,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,10760395,213.040461,213.040462,0.000,0.002,C9 H9 O6       ,9,9,0,6,0,
49.63,22124778,213.076827,213.076847,0.020,0.095,C10 H13 O5     ,10,13,0,5,0,
771.77,2799860,213.088067,213.088080,0.013,0.062,C9 H13 N2 O4   ,9,13,2,4,0,
-1000.00,12626186,213.113228,213.113233,0.005,0.021,C11 H17 O4     ,11,17,0,4,0,
-1000.00,3309865,213.149573,213.149618,0.045,0.212,C12 H21 O3     ,12,21,0,3,0,
717.55,2641976,214.054290,214.054338,0.048,0.224,C9 H12 N O3 S  ,9,12,1,3,1,
104.21,11988039,214.072126,214.072096,-0.030,-0.138,C9 H12 N O5    ,9,12,1,5,0,
667.30,5774421,214.087364,214.087352,-0.012,-0.055,C13 H12 N O2   ,13,12,1,2,0,
-1000.00,3171943,214.108455,214.108482,0.027,0.125,C10 H16 N O4   ,10,16,1,4,0,
-1000.00,4919152,215.001929,215.001968,0.039,0.179,C8 H7 O5 S     ,8,7,0,5,1,
171.58,7456655,215.038331,215.038353,0.023,0.105,C9 H11 O4 S    ,9,11,0,4,1,
682.64,2428569,215.049612,215.049587,-0.025,-0.115,C8 H11 N2 O3 S ,8,11,2,3,1,
-1000.00,17289118,215.056132,215.056112,-0.020,-0.093,C9 H11 O6      ,9,11,0,6,0,
6.65,24670142,215.092498,215.092497,-0.001,-0.003,C10 H15 O5     ,10,15,0,5,0,
701.78,5690312,215.103713,215.103731,0.018,0.083,C9 H15 N2 O4   ,9,15,2,4,0,
-1000.00,8693726,215.128859,215.128883,0.023,0.108,C11 H19 O4     ,11,19,0,4,0,
256.41,4606708,216.033568,216.033602,0.035,0.161,C8 H10 N O4 S  ,8,10,1,4,1,
605.97,2695428,216.051352,216.051361,0.008,0.039,C8 H10 N O6    ,8,10,1,6,0,
699.87,2134801,216.066648,216.066617,-0.031,-0.144,C12 H10 N O3   ,12,10,1,3,0,
220.46,7192356,216.087767,216.087746,-0.021,-0.097,C9 H14 N O5    ,9,14,1,5,0,
-1000.00,2211907,216.124143,216.124132,-0.011,-0.053,C10 H18 N O4   ,10,18,1,4,0,
-1000.00,8701522,217.017613,217.017618,0.005,0.022,C8 H9 O5 S     ,8,9,0,5,1,
617.19,2242672,217.050550,217.050632,0.082,0.380,C12 H9 O4      ,12,9,0,4,0,
351.26,5577331,217.053987,217.054003,0.017,0.076,C9 H13 O4 S    ,9,13,0,4,1,
116.15,13674114,217.071770,217.071762,-0.009,-0.040,C9 H13 O6      ,9,13,0,6,0,
-1000.00,3223696,217.087013,217.087018,0.005,0.023,C13 H13 O3     ,13,13,0,3,0,
747.00,2075040,217.105701,217.105645,-0.056,-0.256,C14 H17 S      ,14,17,0,0,1,
24.09,18777762,217.108164,217.108147,-0.017,-0.078,C10 H17 O5     ,10,17,0,5,0,
-1000.00,2360002,217.144594,217.144533,-0.061,-0.282,C11 H21 O4     ,11,21,0,4,0,
-1000.00,2100159,218.012890,218.012867,-0.023,-0.107,C7 H8 N O5 S   ,7,8,1,5,1,
385.75,4578780,218.045864,218.045881,0.017,0.079,C11 H8 N O4    ,11,8,1,4,0,
529.34,3373535,218.049281,218.049252,-0.028,-0.130,C8 H12 N O4 S  ,8,12,1,4,1,
529.32,2172398,218.067097,218.067011,-0.086,-0.395,C8 H12 N O6    ,8,12,1,6,0,
568.30,2661884,218.082338,218.082267,-0.071,-0.326,C12 H12 N O3   ,12,12,1,3,0,
683.39,2298636,218.100823,218.100894,0.071,0.328,C13 H16 N S    ,13,16,1,0,1,
535.13,2243854,218.103334,218.103396,0.063,0.287,C9 H16 N O5    ,9,16,1,5,0,
154.92,8310052,218.996879,218.996883,0.003,0.015,C7 H7 O6 S     ,7,7,0,6,1,
561.00,2177855,219.027438,219.027395,-0.043,-0.199,C15 H7 S       ,15,7,0,0,1,
-1000.00,2817089,219.029984,219.029897,-0.087,-0.396,C11 H7 O5      ,11,7,0,5,0,
285.97,8648004,219.033310,219.033268,-0.042,-0.193,C8 H11 O5 S    ,8,11,0,5,1,
